balancing_authority_code_eia,replacement,surplus
AEC,False,True
YAD,False,True
AZPS,True,True
AECI,False,True
BPAT,False,True
CISO,True,True
CPLE,True,True
CHPD,False,True
DOPD,False,True
DUK,True,True
EPE,False,True
ERCO,False,False
EEI,False,True
FPL,False,True
FPC,False,True
GVL,False,True
HST,False,True
IPCO,False,True
IID,False,True
JEA,False,True
LDWP,False,True
LGEE,False,True
NWMT,False,True
NEVP,False,True
ISNE,False,True
NSB,False,True
NYIS,False,False
OVEC,False,True
PACW,True,True
PACE,True,True
GRMA,False,True
FMPP,False,True
GCPD,False,True
PJM,True,True
PGE,False,True
AVRN,False,True
PSCO,True,True
PNM,False,True
PSEI,False,True
BANC,False,True
SRP,False,True
SCL,False,True
SCEG,True,True
SC,False,True
SPA,False,True
SOCO,False,True
TPWR,False,True
TAL,False,True
TEC,False,True
TVA,False,True
TIDC,False,True
,False,True
WAUW,False,True
AVA,False,True
SEC,False,True
TEPC,False,True
WALC,False,True
WACM,False,True
SEPA,False,True
HGMA,False,True
GRIF,False,True
GWA,False,True
GRID,False,True
MISO,True,True
DEAA,False,True
CPLW,True,True
GRID,False,True
WWA,False,True
SWPP,True,True
